epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0066,2.11308,6.3359,2.98821,2.15632,0.01389,0.75758,0.10258,0.05681,0.01278,0.69697,0.09203,0.04024,1.62303,3.72405,2.96104,1.77128,6e-05,6e-05,6e-05
2,38.5603,1.80069,5.09113,2.80034,1.94417,0.015,0.81818,0.2369,0.10903,0.015,0.81818,0.14902,0.06819,1.53939,3.59539,2.8792,1.7095,0.000139538,0.000139538,0.000139538
3,57.1885,1.67874,4.47811,2.68584,1.7956,0.01611,0.87879,0.27609,0.1325,0.01556,0.84848,0.21256,0.07142,1.67858,3.7993,2.90966,1.86682,0.000218548,0.000218548,0.000218548
4,75.5579,1.68159,4.25178,2.47591,1.83502,0.015,0.81818,0.27409,0.1193,0.01167,0.63636,0.03599,0.01269,1.71787,5.04709,2.89582,1.9393,0.00029703,0.00029703,0.00029703
5,94.1909,1.6729,4.00293,2.2067,1.75966,0.01556,0.84848,0.26708,0.12414,0.01389,0.75758,0.07742,0.02909,1.75556,4.8163,2.84864,1.99,0.000374984,0.000374984,0.000374984
6,112.212,1.58228,3.87246,2.16616,1.74383,0.01333,0.72727,0.29903,0.13536,0.01389,0.75758,0.15103,0.05595,1.73415,4.00203,2.80286,1.98094,0.00045241,0.00045241,0.00045241
7,130.691,1.66846,3.80519,2.04279,1.80408,0.36239,0.39394,0.32741,0.14709,0.27876,0.30303,0.25123,0.0817,1.71512,3.9706,2.67822,2.06674,0.000529308,0.000529308,0.000529308
8,150.19,1.62396,3.76201,2.0097,1.75731,0.23555,0.54545,0.37542,0.14822,0.15703,0.36364,0.23984,0.08775,1.80958,4.54938,2.60191,2.04116,0.000605678,0.000605678,0.000605678
9,170.065,1.57791,3.64556,1.90307,1.74433,0.4487,0.22238,0.31451,0.13834,0.38102,0.18182,0.20423,0.07894,1.89515,5.07288,2.44358,2.10973,0.00068152,0.00068152,0.00068152
10,189.384,1.54573,3.63856,1.91155,1.66759,0.43179,0.33333,0.40023,0.16967,0.25034,0.18182,0.1916,0.07262,1.97606,5.13673,2.41478,2.31366,0.000756834,0.000756834,0.000756834
11,209.425,1.52757,3.60635,1.78461,1.69864,0.57865,0.36364,0.36448,0.11502,0.18355,0.18182,0.09383,0.02682,2.02176,5.49758,2.4985,2.32111,0.00083162,0.00083162,0.00083162
12,228.268,1.53955,3.54719,1.71742,1.66581,0.38044,0.36364,0.38077,0.14423,0.09635,0.18421,0.0843,0.0277,1.94938,7.2415,2.4017,2.17553,0.000905878,0.000905878,0.000905878
13,247.282,1.56588,3.74314,1.82288,1.70164,0.61491,0.30303,0.3675,0.12032,0.15656,0.15152,0.09534,0.02207,2.11677,5.21247,2.58036,2.34769,0.000979608,0.000979608,0.000979608
14,266.263,1.53263,3.54042,1.6963,1.62134,0.32221,0.33138,0.27022,0.10048,0.1572,0.31664,0.09538,0.0247,1.97395,5.00139,2.70834,2.26312,0.00105281,0.00105281,0.00105281
15,285.438,1.49239,3.47509,1.68653,1.59537,0.30546,0.36364,0.24959,0.09761,0.29854,0.21212,0.1609,0.04015,1.99734,4.21834,2.57565,2.4122,0.00112548,0.00112548,0.00112548
16,304.225,1.5363,3.60574,1.63922,1.61418,0.42442,0.42424,0.26724,0.0889,0.29981,0.36364,0.21695,0.05098,2.02429,4.54889,2.45064,2.50677,0.00119763,0.00119763,0.00119763
17,323.18,1.47753,3.46552,1.64815,1.58399,0.21237,0.36775,0.19411,0.07804,0.19049,0.30303,0.18497,0.03841,2.18864,5.60243,2.68398,2.74274,0.00126925,0.00126925,0.00126925
18,341.919,1.5273,3.46109,1.74496,1.64694,0.18953,0.30303,0.14535,0.05056,0.14112,0.21212,0.10699,0.03568,2.30282,5.61556,3.30621,2.7334,0.00134034,0.00134034,0.00134034
19,360.35,1.45764,3.65111,1.62907,1.57402,0.22368,0.24242,0.15883,0.0631,0.16682,0.15152,0.10685,0.03922,2.13808,6.33153,3.10578,2.66807,0.0014109,0.0014109,0.0014109
20,378.481,1.5599,3.44958,1.7534,1.65343,0.23847,0.21212,0.1369,0.04719,0.17044,0.12121,0.07061,0.02081,2.25109,6.73132,2.94266,3.00819,0.00148093,0.00148093,0.00148093
21,397.672,1.52706,3.64436,1.71119,1.66993,0.30924,0.15152,0.1331,0.03878,0.15149,0.06061,0.03641,0.01242,2.17864,8.32027,2.97263,2.73429,0.00155044,0.00155044,0.00155044
22,416.885,1.51336,3.49918,1.63336,1.61542,0.24747,0.39394,0.18515,0.06692,0.12434,0.21212,0.06399,0.01835,2.07045,7.29645,2.6743,2.53144,0.00161942,0.00161942,0.00161942
23,436.541,1.52139,3.51435,1.61694,1.64768,0.31118,0.51515,0.26546,0.09477,0.20317,0.33333,0.16573,0.04387,2.11118,6.4841,2.69435,2.5484,0.00168787,0.00168787,0.00168787
24,455.454,1.50662,3.46205,1.59139,1.63723,0.28285,0.46626,0.25328,0.08963,0.3151,0.15152,0.13765,0.04021,2.20274,6.90192,2.81685,2.59926,0.00175579,0.00175579,0.00175579
25,474.963,1.56931,3.3884,1.59735,1.64138,0.23582,0.39394,0.1717,0.05022,0.26399,0.18182,0.09907,0.01957,2.29145,6.01746,2.87841,2.81634,0.00182318,0.00182318,0.00182318
26,493.007,1.47903,3.36792,1.54348,1.62366,0.26754,0.39394,0.20041,0.06407,0.21182,0.33333,0.1462,0.03624,2.25545,5.80417,2.9027,2.83425,0.001835,0.001835,0.001835
27,511.396,1.46611,3.39478,1.48852,1.56396,0.26295,0.45455,0.23815,0.09041,0.19869,0.33333,0.19522,0.04825,2.07776,5.40412,2.74058,2.56266,0.0018284,0.0018284,0.0018284
28,529.582,1.48305,3.44879,1.49597,1.57558,0.21162,0.51515,0.17978,0.07329,0.17693,0.42424,0.14206,0.04589,2.08932,5.4093,2.78105,2.61581,0.0018218,0.0018218,0.0018218
29,547.863,1.45022,3.5559,1.46072,1.55563,0.20277,0.51515,0.17125,0.05851,0.23224,0.18182,0.11821,0.03337,2.17352,4.97374,2.8935,2.73135,0.0018152,0.0018152,0.0018152
30,566.079,1.42014,3.30618,1.43196,1.53239,0.24091,0.41365,0.16808,0.05788,0.17925,0.30446,0.12119,0.0297,2.19237,5.15767,2.90669,3.01408,0.0018086,0.0018086,0.0018086
31,584.14,1.41398,3.36404,1.46811,1.56408,0.26797,0.27273,0.20799,0.06648,0.2479,0.33333,0.18922,0.0562,2.40296,4.88642,3.22675,3.19628,0.001802,0.001802,0.001802
32,602.317,1.46944,3.27573,1.49926,1.57289,0.33266,0.30214,0.23106,0.07723,0.30183,0.30136,0.18938,0.05696,2.33887,4.70487,3.21848,2.88693,0.0017954,0.0017954,0.0017954
33,620.206,1.36365,3.12387,1.36106,1.53381,0.26545,0.48485,0.23869,0.07297,0.1867,0.39394,0.19769,0.05481,2.42366,4.6903,2.75867,3.01444,0.0017888,0.0017888,0.0017888
34,638.606,1.36853,3.17863,1.343,1.4871,0.15996,0.51515,0.16947,0.06071,0.16003,0.15152,0.097,0.03256,2.29664,4.95091,3.09435,2.80851,0.0017822,0.0017822,0.0017822
35,657.485,1.38339,3.32984,1.39054,1.52229,0.21269,0.57576,0.19543,0.08968,0.12755,0.30303,0.10556,0.03795,2.21256,5.28879,3.17512,2.64464,0.0017756,0.0017756,0.0017756
36,676.077,1.36657,3.26124,1.31507,1.51402,0.23333,0.39394,0.20013,0.09654,0.16548,0.18182,0.08989,0.04382,2.24312,5.352,2.87758,2.67098,0.001769,0.001769,0.001769
37,695.404,1.29804,3.14856,1.25953,1.46082,0.322,0.33333,0.27379,0.12052,0.26692,0.27273,0.15006,0.05612,2.29341,5.37308,2.95305,2.74916,0.0017624,0.0017624,0.0017624
38,714.221,1.30091,3.05121,1.31026,1.46126,0.40656,0.48485,0.38437,0.12578,0.37677,0.42424,0.32895,0.09852,2.35031,4.68077,2.58013,2.77602,0.0017558,0.0017558,0.0017558
39,732.377,1.3878,3.35871,1.33174,1.51531,0.57533,0.42424,0.39953,0.14412,0.44665,0.33333,0.26559,0.086,2.32554,4.60046,2.43243,2.70446,0.0017492,0.0017492,0.0017492
40,750.749,1.28029,3.05615,1.23901,1.41666,0.46096,0.48485,0.31762,0.13021,0.40315,0.42424,0.26546,0.07256,2.29027,4.6085,2.64678,2.58027,0.0017426,0.0017426,0.0017426
41,768.811,1.29068,3.14702,1.21622,1.42684,0.38259,0.45455,0.30411,0.10963,0.33937,0.39394,0.22787,0.06576,2.32941,4.537,2.59896,2.68386,0.001736,0.001736,0.001736
42,786.973,1.33168,3.10465,1.22829,1.47714,0.35145,0.54197,0.26649,0.10244,0.36437,0.36364,0.21869,0.07375,2.29296,4.38475,2.64524,2.71691,0.0017294,0.0017294,0.0017294
